id,name,manufacturer,model,category,price_brl,power_w,efficiency,voltage_v,current_a,image,image_url,source,availability,description,image_tier,specs_count
"odex_inverters_ODEX-INV-DEYE-8000W","Inversor Híbrido Deye SUN-8K-SG05LP1-EU 8kW Monofásico 220V 48V 2 MPPT","Deye","SG05LP1-EU","inverters","5799","8","8","220","","","/images/placeholder-inverter.jpg","","true","Inversor Híbrido Deye SUN-8K-SG05LP1-EU 8kW Monofásico 220V 48V 2 MPPT","","7"
"odex_inverters_ODEX-INV-SOLAX-5000W","Inversor Híbrido SolaX X1-Hybrid-5.0-T 5kW Monofásico 220V 48V 2 MPPT","Solax","X1-Hybrid-5.0-T","inverters","4399","5","100","220","","","/images/placeholder-inverter.jpg","","true","Inversor Híbrido SolaX X1-Hybrid-5.0-T 5kW Monofásico 220V 48V 2 MPPT","","7"
"odex_inverters_ODEX-INV-SOLAX-8000W","Inversor Híbrido SolaX X3-Hybrid-8.0-D 8kW Trifásico 380V 96V 2 MPPT","Solax","X3-Hybrid-8.0-D","inverters","7999","8","3","380","","","/images/placeholder-inverter.jpg","","true","Inversor Híbrido SolaX X3-Hybrid-8.0-D 8kW Trifásico 380V 96V 2 MPPT","","7"
"odex_inverters_ODEX-INV-SOLAX-10000W","Inversor Híbrido SolaX X3-Hybrid-10.0-D 10kW Trifásico 380V 96V 2 MPPT","Solax","X3-Hybrid-10.0-D","inverters","9499","10","3","380","","","/images/placeholder-inverter.jpg","","true","Inversor Híbrido SolaX X3-Hybrid-10.0-D 10kW Trifásico 380V 96V 2 MPPT","","7"
"odex_inverters_ODEX-ESTRUTURA-SOLARGROUP-FIBROCIMENTO","Estrutura Solar Group Fibrocimento Grande","Solar Group","Estrutura Solar Grou","inverters","103","","","ESTRUTURA SOLAR GROUP FIBROCIMENTO GRANDE","","","/images/placeholder-inverter.jpg","","true","Estrutura Solar Group Fibrocimento Grande","","2"
"odex_inverters_ODEX-ESTRUTURA-SOLARGROUP-FIBROCIMENTO-1","Estrutura Solar Group Fibrocimento Pequeno","Solar Group","Estrutura Solar Grou","inverters","98","","","ESTRUTURA SOLAR GROUP FIBROCIMENTO PEQUENO","","","/images/placeholder-inverter.jpg","","true","Estrutura Solar Group Fibrocimento Pequeno","","2"
"odex_inverters_ODEX-ESTRUTURA-SOLARGROUP-COLONIAL","Estrutura Solar Group Colonial Cerâmico","Solar Group","Estrutura Solar Grou","inverters","145","","","ESTRUTURA SOLAR GROUP COLONIAL CERÂMICO","","","/images/placeholder-inverter.jpg","","true","Estrutura Solar Group Colonial Cerâmico","","2"
"odex_inverters_ODEX-ESTRUTURA-SOLARGROUP-METALICO","Estrutura Solar Group Metálico Trapezoidal","Solar Group","Estrutura Solar Grou","inverters","112","","","ESTRUTURA SOLAR GROUP METÁLICO TRAPEZOIDAL","","","/images/placeholder-inverter.jpg","","true","Estrutura Solar Group Metálico Trapezoidal","","2"
"odex_inverters_ODEX-ESTRUTURA-SOLARGROUP-SOLO","Estrutura Solar Group Solo Fixo","Solar Group","Estrutura Solar Grou","inverters","1250","","","ESTRUTURA SOLAR GROUP SOLO FIXO","","","/images/placeholder-inverter.jpg","","true","Estrutura Solar Group Solo Fixo","","2"
"odex_inverters_ODEX-ESTRUTURA-SOLARGROUP-SOLO-1","Estrutura Solar Group Solo Rastreador 1 Eixo","Solar Group","Estrutura Solar Grou","inverters","3890","","100","1","","","/images/placeholder-inverter.jpg","","true","Estrutura Solar Group Solo Rastreador 1 Eixo","","4"
"odex_inverters_ODEX-ESTRUTURA-ROMAGNOLE-FIBROCIMENTO","Estrutura Romagnole Fibrocimento RF-55","Romagnole","Estrutura Romagnole","inverters","109","","55","55","","","/images/placeholder-inverter.jpg","","true","Estrutura Romagnole Fibrocimento RF-55","","4"
"odex_inverters_ODEX-ESTRUTURA-ROMAGNOLE-COLONIAL","Estrutura Romagnole Colonial Cerâmico RC-66","Romagnole","Estrutura Romagnole","inverters","152","","66","66","","","/images/placeholder-inverter.jpg","","true","Estrutura Romagnole Colonial Cerâmico RC-66","","4"
"odex_inverters_ODEX-ESTRUTURA-ROMAGNOLE-METALICO","Estrutura Romagnole Metálico Trapezoidal RM-40","Romagnole","Estrutura Romagnole","inverters","118","","40","40","","","/images/placeholder-inverter.jpg","","true","Estrutura Romagnole Metálico Trapezoidal RM-40","","4"
"odex_inverters_ODEX-ESTRUTURA-ROMAGNOLE-LAJE","Estrutura Romagnole Laje Inclinada RL-30","Romagnole","Estrutura Romagnole","inverters","165","","30","30","","","/images/placeholder-inverter.jpg","","true","Estrutura Romagnole Laje Inclinada RL-30","","4"
"odex_inverters_ODEX-ESTRUTURA-ROMAGNOLE-SOLO","Estrutura Romagnole Solo Fixo RS-1500","Romagnole","Estrutura Romagnole","inverters","1345","","1500","1500","","","/images/placeholder-inverter.jpg","","true","Estrutura Romagnole Solo Fixo RS-1500","","4"
"odex_inverters_ODEX-ESTRUTURA-PRATYC-FIBROCIMENTO","Estrutura Pratyc Fibrocimento Grande PRF-60","Pratyc","Estrutura Pratyc Fib","inverters","107","","60","60","","","/images/placeholder-inverter.jpg","","true","Estrutura Pratyc Fibrocimento Grande PRF-60","","4"
"odex_inverters_ODEX-ESTRUTURA-PRATYC-COLONIAL","Estrutura Pratyc Colonial Cerâmico PRC-70","Pratyc","Estrutura Pratyc Col","inverters","149","","70","70","","","/images/placeholder-inverter.jpg","","true","Estrutura Pratyc Colonial Cerâmico PRC-70","","4"
"odex_inverters_ODEX-ESTRUTURA-PRATYC-METALICO","Estrutura Pratyc Metálico Trapezoidal PRM-45","Pratyc","Estrutura Pratyc Met","inverters","115","","45","45","","","/images/placeholder-inverter.jpg","","true","Estrutura Pratyc Metálico Trapezoidal PRM-45","","4"
