loaded src,title-left,title-right,subtitle,price
https://cdn-ecommerce.solfacil.com.br/contents/products/600109/images/IMAGE_PRODUCT_600109.png,GOODWE,GW 35KLS-MT,INVERSOR FOTOVOLTAICO GW35KLS-MT EX 35KW GOODWE TRI 220V,"R$ 20.672,13"
https://cdn-ecommerce.solfacil.com.br/contents/products/600152/images/image.webp,GROWATT,MAX 50KTL3-XL2,INVERSOR FOTOVOLTAICO MAX 50KTL3-XL2 50KW GROWATT TRI 220V,"R$ 21.002,53"
,DEYE,SUN-50K-G-LV,INVERSOR FOTOVOLTAICO SUN-50K-G-LV - KIT 50KW DEYE TRI 220V,"R$ 21.002,53"
,DEYE,SUN-50K-G-LV,INVERSOR FOTOVOLTAICO SUN-50K-G-LV - NE EX 50KW DEYE TRI 220V,"R$ 21.002,53"
https://cdn-ecommerce.solfacil.com.br/contents/products/600147/images/image.png,DEYE,SUN-50K-G-LV,INVERSOR FOTOVOLTAICO SUN-50K-G-LV EX 50KW DEYE TRI 220V,"R$ 21.002,53"
https://cdn-ecommerce.solfacil.com.br/contents/products/600153/images/image.webp,GOODWE,GW10K-BT,INVERSOR FOTOVOLTAICO RETROFIT GW10K-BT 10KW GOODWE HIBRIDO TRI 380V,"R$ 21.142,98"
https://cdn-ecommerce.solfacil.com.br/contents/products/600168/images/image.png,DEYE,SUN-75K-G01P3-LV,INVERSOR FOTOVOLTAICO SUN-75K-G01P3-LV - KIT 75KW DEYE TRI 220V,"R$ 22.010,10"
,DEYE,SUN-75K-G01P3-LV,INVERSOR FOTOVOLTAICO SUN-75K-G01P3-LV EX 75KW DEYE TRI 220V,"R$ 22.010,10"
https://cdn-ecommerce.solfacil.com.br/contents/products/600305/images/IMAGE_PRODUCT_600305.png,GROWATT,MAX 50KTL3-XL2 - AFCI,INVERSOR FOTOVOLTAICO MAX 50KTL3-XL2 - AFCI - NE 50KW GROWATT TRI 220V,"R$ 22.107,90"
https://cdn-ecommerce.solfacil.com.br/contents/products/600304/images/IMAGE_PRODUCT_600304.png,GROWATT,MAX 50KTL3-XL2 - AFCI,INVERSOR FOTOVOLTAICO MAX 50KTL3-XL2 - AFCI - SUL EX 50KW GROWATT TRI 220V,"R$ 22.107,90"
https://cdn-ecommerce.solfacil.com.br/contents/products/600267/images/image.png,GOODWE,GW 35KLS-MT - AFCI,INVERSOR FOTOVOLTAICO GW35KLS-MT - AFCI - KIT NE 35KW GOODWE TRI 220V,"R$ 22.237,93"
https://cdn-ecommerce.solfacil.com.br/contents/products/600244/images/image.png,GOODWE,GW 35KLS-MT - AFCI,INVERSOR FOTOVOLTAICO GW35KLS-MT - AFCI EX 35KW GOODWE TRI 220V,"R$ 22.237,93"
https://cdn-ecommerce.solfacil.com.br/contents/products/600238/images/image.png,GOODWE,GW 60KS-MT - AFCI,INVERSOR FOTOVOLTAICO GW60KS-MT - AFCI EX 60KW GOODWE TRI 380V,"R$ 22.507,13"
https://cdn-ecommerce.solfacil.com.br/contents/products/600125/images/image.webp,GROWATT,MAX60KTL3-XL 2,INVERSOR FOTOVOLTAICO MAX 60KTL3-XL2 60KW GROWATT TRI 220V,"R$ 25.711,60"
https://cdn-ecommerce.solfacil.com.br/contents/products/600328/images/IMAGE_PRODUCT_600328.png,GOODWE,GW75K-SMT - AFCI,INVERSOR FOTOVOLTAICO GW75K-SMT - AFCI SUL 75KW GOODWE TRI 380V,"R$ 27.325,15"
https://cdn-ecommerce.solfacil.com.br/contents/products/600225/images/image.png,GOODWE,GW 73KLV-HT - AFCI,INVERSOR FOTOVOLTAICO GW73KLV-HT - AFCI -NE 73KW GOODWE TRI 220V,"R$ 34.735,65"
https://cdn-ecommerce.solfacil.com.br/contents/products/600250/images/image.png,GOODWE,GW 73KLV-HT - AFCI,INVERSOR FOTOVOLTAICO GW73KLV-HT - AFCI EX 73KW GOODWE TRI 220V,"R$ 34.735,65"
https://cdn-ecommerce.solfacil.com.br/contents/products/600149/images/IMAGE_PRODUCT_600149.png,GOODWE,GW20K-ET - AFCI,INVERSOR FOTOVOLTAICO GW20K-ET - AFCI EX SUL 20KW GOODWE HIBRIDO TRI 380V,"R$ 35.072,33"
https://cdn-ecommerce.solfacil.com.br/contents/products/600363/images/IMAGE_PRODUCT_600363.png,GOODWE,GW12KL-ET - AFCI,INVERSOR FOTOVOLTAICO GW12KL-ET - AFCI - SUL 12KW GOODWE HIBRIDO TRI 220V,"R$ 36.889,90"
https://cdn-ecommerce.solfacil.com.br/contents/products/600348/images/IMAGE_PRODUCT_600348.png,GOODWE,GW15K-ET - AFCI,INVERSOR FOTOVOLTAICO GW15K-ET - AFCI - EX SUL 15KW GOODWE HIBRIDO TRI 380V,"R$ 38.683,00"
https://cdn-ecommerce.solfacil.com.br/contents/products/600066/images/IMAGE_PRODUCT_600066.png,GOODWE,GW 100K-HT,INVERSOR FOTOVOLTAICO GW100K-HT EX 100KW GOODWE TRI 380V,"R$ 41.129,40"
https://cdn-ecommerce.solfacil.com.br/contents/products/600126/images/IMAGE_PRODUCT_600126.png,GOODWE,GW100K-HT,INVERSOR FOTOVOLTAICO GW100K-HT - AFCI EX 100KW GOODWE TRI 380V,"R$ 44.705,88"
https://cdn-ecommerce.solfacil.com.br/contents/products/600342/images/IMAGE_PRODUCT_600342.jpg,GOODWE,GW100K-GT - AFCI,INVERSOR FOTOVOLTAICO GW100K-GT - AFCI - EX SUL 100KW GOODWE TRI 380V,"R$ 44.705,88"
https://cdn-ecommerce.solfacil.com.br/contents/products/600023/images/IMAGE_PRODUCT_600023.png,GOODWE,GW 110K-HT,INVERSOR FOTOVOLTAICO GW110K-HT EX 110KW GOODWE TRI 380V,"R$ 46.277,45"
https://cdn-ecommerce.solfacil.com.br/contents/products/600150/images/IMAGE_PRODUCT_600150.png,GOODWE,GW30K-ET - AFCI,INVERSOR FOTOVOLTAICO GW30K-ET - AFCI 30KW GOODWE HIBRIDO TRI 380V,"R$ 60.871,88"
https://cdn-ecommerce.solfacil.com.br/contents/products/600143/images/image.png,GOODWE,GW250KN-HT,INVERSOR FOTOVOLTAICO GW250KN-HT EX 250KW GOODWE TRI 800V,"R$ 86.184,83"
https://cdn-ecommerce.solfacil.com.br/contents/products/600344/images/IMAGE_PRODUCT_600344.png,GOODWE,GW250KH-UT,INVERSOR FOTOVOLTAICO GW250KH-UT EX SUL 250KW GOODWE TRI 800V,"R$ 86.184,83"
https://cdn-ecommerce.solfacil.com.br/contents/products/600142/images/IMAGE_PRODUCT_600142.png,GOODWE,GW250K-HT,INVERSOR FOTOVOLTAICO GW250K-HT EX 250KW GOODWE TRI 800V,"R$ 86.184,83"
